2014-11-28 16:02:42.7014 *********************************************************
2014-11-28 16:02:42.7170 * VersionOne Data Migration Log
2014-11-28 16:02:42.7326 * 11/28/2014 4:02:42 PM
2014-11-28 16:02:42.7326 *********************************************************
2014-11-28 16:02:42.7326 
2014-11-28 16:02:42.7326 Initializing configurations.
2014-11-28 16:02:42.9822 Verifying connections.
2014-11-28 16:02:56.3760 -> Connection to staging database "V1Staging" verified.
2014-11-28 16:03:17.7852 -> Connection to V1 target instance "http://localhost/AllyProduction" verified.
2014-11-28 16:03:17.7852 -> V1 target instance version: 14.3.2.6314.
2014-11-28 16:03:18.0504 
2014-11-28 16:03:18.0504 *** IMPORTING:
2014-11-28 16:03:18.2688 Importing conversations.
2014-11-28 16:04:39.1286 Name is Story:15338 and newAssetOId is 
2014-11-28 16:04:39.3002 Name is Story:15340 and newAssetOId is 
2014-11-28 16:04:39.4718 Name is Story:15340 and newAssetOId is 
2014-11-28 16:04:39.6434 Name is  and newAssetOId is 
2014-11-28 16:04:39.8150 Name is  and newAssetOId is 
2014-11-28 16:04:40.4858 Name is  and newAssetOId is 
2014-11-28 16:04:42.0146 Name is  and newAssetOId is 
2014-11-28 16:04:42.1862 Name is  and newAssetOId is 
2014-11-28 16:04:42.3578 Name is  and newAssetOId is 
2014-11-28 16:04:42.5294 Name is  and newAssetOId is 
2014-11-28 16:04:42.8570 Name is  and newAssetOId is 
2014-11-28 16:04:43.7150 Name is  and newAssetOId is 
2014-11-28 16:04:45.1970 Name is  and newAssetOId is 
2014-11-28 16:04:45.3686 Name is  and newAssetOId is 
2014-11-28 16:04:45.5432 Name is  and newAssetOId is 
2014-11-28 16:04:45.7148 Name is  and newAssetOId is 
2014-11-28 16:04:45.8864 Name is  and newAssetOId is 
2014-11-28 16:04:46.0736 Name is  and newAssetOId is 
2014-11-28 16:04:46.7444 Name is  and newAssetOId is 
2014-11-28 16:04:48.2888 Name is  and newAssetOId is 
2014-11-28 16:04:48.4604 Name is  and newAssetOId is 
2014-11-28 16:04:48.6320 Name is  and newAssetOId is 
2014-11-28 16:04:48.8036 Name is  and newAssetOId is 
2014-11-28 16:04:48.9752 Name is  and newAssetOId is 
2014-11-28 16:04:49.1468 Name is  and newAssetOId is 
2014-11-28 16:04:49.7396 Name is  and newAssetOId is 
2014-11-28 16:04:51.3720 Name is  and newAssetOId is 
2014-11-28 16:04:51.5436 Name is  and newAssetOId is 
2014-11-28 16:04:51.7152 Name is  and newAssetOId is 
2014-11-28 16:04:51.8868 Name is  and newAssetOId is 
2014-11-28 16:04:52.0584 Name is  and newAssetOId is 
2014-11-28 16:04:52.2300 Name is  and newAssetOId is 
2014-11-28 16:04:52.8540 Name is  and newAssetOId is 
2014-11-28 16:04:54.3672 Name is  and newAssetOId is 
2014-11-28 16:04:54.6012 Name is  and newAssetOId is 
2014-11-28 16:04:54.7728 Name is  and newAssetOId is 
2014-11-28 16:04:54.9444 Name is  and newAssetOId is 
2014-11-28 16:04:55.1160 Name is  and newAssetOId is 
2014-11-28 16:04:55.2876 Name is  and newAssetOId is 
2014-11-28 16:04:55.9428 Name is  and newAssetOId is 
2014-11-28 16:04:57.5808 Name is  and newAssetOId is 
2014-11-28 16:04:57.8304 Name is  and newAssetOId is 
2014-11-28 16:04:58.0020 Name is  and newAssetOId is 
2014-11-28 16:04:58.1736 Name is  and newAssetOId is 
2014-11-28 16:04:58.3452 Name is  and newAssetOId is 
2014-11-28 16:04:58.5168 Name is  and newAssetOId is 
2014-11-28 16:04:59.2656 Name is  and newAssetOId is 
2014-11-28 16:05:00.5604 Name is  and newAssetOId is 
2014-11-28 16:05:00.8880 Name is  and newAssetOId is 
2014-11-28 16:05:01.0596 Name is  and newAssetOId is 
2014-11-28 16:05:01.2312 Name is  and newAssetOId is 
2014-11-28 16:05:01.4028 Name is Story:15338 and newAssetOId is 
2014-11-28 16:05:01.5744 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:02.1984 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:03.8208 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:03.9924 Name is Story:15472 and newAssetOId is 
2014-11-28 16:05:04.1640 Name is Story:15472 and newAssetOId is 
2014-11-28 16:05:04.3356 Name is Story:15472 and newAssetOId is 
2014-11-28 16:05:04.5072 Name is Story:15472 and newAssetOId is 
2014-11-28 16:05:04.6788 Name is Story:16279 and newAssetOId is 
2014-11-28 16:05:05.2248 Name is  and newAssetOId is 
2014-11-28 16:05:06.8940 Name is  and newAssetOId is 
2014-11-28 16:05:07.0656 Name is  and newAssetOId is 
2014-11-28 16:05:07.2372 Name is  and newAssetOId is 
2014-11-28 16:05:07.4088 Name is Story:16375 and newAssetOId is 
2014-11-28 16:05:07.5804 Name is Story:16375 and newAssetOId is 
2014-11-28 16:05:07.7520 Name is Story:16375 and newAssetOId is 
2014-11-28 16:05:08.2980 Name is Story:16375 and newAssetOId is 
2014-11-28 16:05:09.9672 Name is  and newAssetOId is 
2014-11-28 16:05:10.1388 Name is  and newAssetOId is 
2014-11-28 16:05:10.3104 Name is  and newAssetOId is 
2014-11-28 16:05:10.4820 Name is  and newAssetOId is 
2014-11-28 16:05:10.6536 Name is Story:16459 and newAssetOId is 
2014-11-28 16:05:10.8252 Name is Story:16459 and newAssetOId is 
2014-11-28 16:05:11.4180 Name is Story:16459 and newAssetOId is 
2014-11-28 16:05:13.0404 Name is Story:16459 and newAssetOId is 
2014-11-28 16:05:13.2120 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:13.3836 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:13.5552 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:13.7268 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:13.8984 Name is Story:16375 and newAssetOId is 
2014-11-28 16:05:14.7564 Name is Story:15338 and newAssetOId is 
2014-11-28 16:05:16.0356 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:16.2072 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:16.3788 Name is Story:16375 and newAssetOId is 
2014-11-28 16:05:16.5504 Name is Story:16279 and newAssetOId is 
2014-11-28 16:05:16.7220 Name is Story:15338 and newAssetOId is 
2014-11-28 16:05:16.8936 Name is Story:15338 and newAssetOId is 
2014-11-28 16:05:17.5176 Name is Test:15917 and newAssetOId is 
2014-11-28 16:05:19.2024 Name is Story:16459 and newAssetOId is 
2014-11-28 16:05:19.4052 Name is Story:15338 and newAssetOId is 
2014-11-28 16:05:19.5768 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:19.7484 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:19.9200 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:20.0916 Name is Story:15340 and newAssetOId is 
2014-11-28 16:05:20.8092 Name is Story:16459 and newAssetOId is 
2014-11-28 16:05:22.2444 Name is Story:16459 and newAssetOId is 
2014-11-28 16:05:22.4160 Name is Story:16459 and newAssetOId is 
